小说名称,文库分类,小说作者,文章状态,最后更新,全文长度,小说封面
为婚纱衬上深红蔷薇,集英社,田中芳树,已完成,2010-09-29,104757.0,http://img.wenku8.com/image/0/238/238s.jpg
机动战士高达00,角川文库,木村畅,连载中,2010-06-18,218842.0,http://img.wenku8.com/image/0/864/864s.jpg
川之光,其他文库,松浦寿辉,已完成,2014-06-01,132609.0,http://img.wenku8.com/image/1/1636/1636s.jpg
梦神的教室,电击文库,三上延,已完成,2010-09-13,496570.0,http://img.wenku8.com/image/0/389/389s.jpg
428被封锁的涩谷,讲谈社,北岛行德,已完成,2010-09-08,376867.0,http://img.wenku8.com/image/0/478/478s.jpg
毁灭魔导王与魔像蛮妃,角川文库,北下路来名,连载中,2020-05-20,107834.0,http://img.wenku8.com/image/2/2759/2759s.jpg
舰队Collection 瑞之海，凤之空,角川文库,村崎幸也,已完成,2020-02-16,189984.0,http://img.wenku8.com/image/2/2502/2502s.jpg
为夜空的双子座衬上深红蔷薇,集英社,冈崎裕信,已完成,2010-09-29,102951.0,http://img.wenku8.com/image/0/239/239s.jpg
隔邻的魔法师,GA文库,筱崎砂美,已完成,2010-08-29,71547.0,http://img.wenku8.com/image/0/609/609s.jpg
樱兰高校男公关部,其他文库,叶鸟螺子,连载中,2011-05-08,122688.0,http://img.wenku8.com/image/0/960/960s.jpg
伯爵大人的爱情生活,其他文库,高月祭,已完成,2009-03-30,383089.0,http://img.wenku8.com/image/0/339/339s.jpg
手机听众,其他文库,西尾维新,已完成,2009-10-11,9038.0,https://www.wenku8.net/modules/article/images/nocover.jpg
安琪莉可 天空的镇魂歌,其他文库,草剃陀美鸟,已完成,2014-11-27,73229.0,http://img.wenku8.com/image/1/1762/1762s.jpg
明日华—麻将饿狼传—,集英社,吉村夜,已完成,2011-11-02,99014.0,http://img.wenku8.com/image/1/1119/1119s.jpg
黄昏街不杀生的暗杀者,电击文库,寺田海月,已完成,2018-02-22,103176.0,http://img.wenku8.com/image/2/2369/2369s.jpg
死神候补生,Fami通文库,小林正亲,已完成,2010-09-02,83304.0,http://img.wenku8.com/image/0/563/563s.jpg
怜Ren,角川文库,水口敬文,已完成,2010-11-02,393592.0,http://img.wenku8.com/image/0/106/106s.jpg
水夏,其他文库,杂贺匡,已完成,2009-03-09,74969.0,http://img.wenku8.com/image/0/69/69s.jpg
姑获鸟之夏,其他文库,京极夏彦,已完成,2009-03-26,463521.0,http://img.wenku8.com/image/0/311/311s.jpg
叛逆的无畏少女,电击文库,岩田洋季,已完成,2017-08-28,454761.0,http://img.wenku8.com/image/2/2297/2297s.jpg
越佐大桥,电击文库,成田良悟,连载中,2010-07-30,438569.0,http://img.wenku8.com/image/0/699/699s.jpg
CROSS CHANNEL,其他文库,伊藤ィツキ,已完成,2010-08-21,61081.0,http://img.wenku8.com/image/0/761/761s.jpg
碧可梦境大冒险,角川文库,赤村次郎,已完成,2014-07-30,28529.0,http://img.wenku8.com/image/1/1681/1681s.jpg
