小说名称,文库分类,小说作者,文章状态,最后更新,全文长度,小说封面
恶魔高校DxD(High School DxD),富士见文库,石踏一荣,已完成,2020-11-10,3885580.0,http://img.wenku8.com/image/1/1034/1034s.jpg
果然我的青春恋爱喜剧搞错了(我的青春恋爱物语果然有问题),小学馆,渡航,已完成,2020-10-27,2687614.0,http://img.wenku8.com/image/1/1213/1213s.jpg
欢迎来到实力至上主义的教室,MF文库J,衣笠彰梧,连载中,2020-11-18,2233431.0,http://img.wenku8.com/image/1/1973/1973s.jpg
在地下城寻求邂逅是否搞错了什么(期待在地下城邂逅有错吗),GA文库,大森藤野,连载中,2020-11-12,4573658.0,http://img.wenku8.com/image/1/1508/1508s.jpg
关于我转生变成史莱姆这档事(关于我转生成为史莱姆的那件事),其他文库,伏濑,连载中,2020-07-13,3258232.0,http://img.wenku8.com/image/1/1787/1787s.jpg
精灵使的剑舞,MF文库J,志瑞佑,已完成,2019-10-20,2052371.0,http://img.wenku8.com/image/1/1011/1011s.jpg
问题儿童都来自异世界?,角川文库,龙之湖太郎,已完成,2015-05-26,1289569.0,http://img.wenku8.com/image/1/1192/1192s.jpg
游戏人生No game No life,MF文库J,榎宫佑,连载中,2018-09-10,1408207.0,http://img.wenku8.com/image/1/1269/1269s.jpg
Campione!(弑神者!),集英社,丈月城,已完成,2019-09-15,2786515.0,http://img.wenku8.com/image/0/433/433s.jpg
爆肝工程师的异世界狂想曲(异世界狂想曲),富士见文库,爱七ひろ,连载中,2020-11-20,2780866.0,http://img.wenku8.com/image/1/1715/1715s.jpg
我女友与青梅竹马的惨烈修罗场,GA文库,裕时悠示,连载中,2020-11-27,1229489.0,http://img.wenku8.com/image/1/1073/1073s.jpg
加速世界,电击文库,川原砾,连载中,2020-09-29,3074162.0,http://img.wenku8.com/image/0/381/381s.jpg
我的妹妹哪有这么可爱(我的妹妹不可能那么可爱),电击文库,伏见司,已完成,2020-10-09,1758958.0,http://img.wenku8.com/image/0/47/47s.jpg
魔弹之王与战姬,MF文库J,川口士,已完成,2018-02-24,2312978.0,http://img.wenku8.com/image/1/1024/1024s.jpg
星刻龙骑士,MF文库J,瑞智士记,已完成,2016-07-07,1937409.0,http://img.wenku8.com/image/1/1005/1005s.jpg
我的朋友很少,MF文库J,平坂读,已完成,2015-09-29,1165548.0,http://img.wenku8.com/image/0/467/467s.jpg
三坪房间的侵略者！？,HJ文库,健速,连载中,,,http://img.wenku8.com/image/0/374/374s.jpg
不起眼女主角培育法(路人女主的养成方法),富士见文库,丸户史明,已完成,2020-02-17,1631741.0,http://img.wenku8.com/image/1/1359/1359s.jpg
IS(Infinite Stratos),其他文库,弓弦逸鹤,连载中,2016-06-13,900327.0,http://img.wenku8.com/image/0/446/446s.jpg
要听爸爸的话!,集英社,松智洋,已完成,2017-12-25,2331318.0,http://img.wenku8.com/image/0/884/884s.jpg
织田信奈的野望,富士见文库,春日御影,连载中,2020-08-08,3179151.0,http://img.wenku8.com/image/0/692/692s.jpg
新妹魔王的契约者,角川文库,上栖缀人,已完成,2018-11-15,1266824.0,http://img.wenku8.com/image/1/1309/1309s.jpg
笨蛋，测验，召唤兽,Fami通文库,井上坚二,已完成,2016-01-25,1762351.0,http://img.wenku8.com/image/0/4/4s.jpg
我被绑架到贵族女校当「庶民样本」,一迅社,七月隆文,已完成,2016-09-04,757863.0,http://img.wenku8.com/image/1/1281/1281s.jpg
平凡职业造就世界最强,其他文库,白米良,连载中,2020-09-08,2447322.0,http://img.wenku8.com/image/2/2080/2080s.jpg
圣剑使的禁咒咏唱,GA文库,淡群赤光,连载中,2020-11-26,1576071.0,http://img.wenku8.com/image/1/1369/1369s.jpg
修罗场恋人(修罗场之恋),MF文库J,岸杯也,已完成,2015-07-18,1030101.0,http://img.wenku8.com/image/1/1238/1238s.jpg
我的脑内恋碍选项,角川文库,春日部武,已完成,2016-10-07,1049689.0,http://img.wenku8.com/image/1/1405/1405s.jpg
碧阳学园学生会议事录(学生会的一己之见),富士见文库,葵关南,已完成,2018-07-22,2230886.0,http://img.wenku8.com/image/0/7/7s.jpg
情色漫画老师(我的妹妹是黄漫老师／埃罗芒阿老师),电击文库,伏见司,连载中,2020-03-15,1255347.0,http://img.wenku8.com/image/1/1538/1538s.jpg
落第骑士英雄谭,其他文库,海空陆,连载中,2020-10-25,1696722.0,http://img.wenku8.com/image/1/1618/1618s.jpg
想变成宅女，就让我当现充！,富士见文库,村上凛,已完成,2020-09-15,1441441.0,http://img.wenku8.com/image/1/1263/1263s.jpg
文学少女,Fami通文库,野村美月,已完成,2019-01-10,2216932.0,http://img.wenku8.com/image/0/1/1s.jpg
境界线上的地平线,电击文库,川上稔,连载中,2020-05-17,5554884.0,http://img.wenku8.com/image/1/1025/1025s.jpg
魔技科的剑士与召唤魔王,MF文库J,三原みつき,已完成,2019-06-28,1801971.0,http://img.wenku8.com/image/1/1439/1439s.jpg
最弱无败神装机龙《巴哈姆特》,GA文库,明月千里,已完成,2020-09-13,2242972.0,http://img.wenku8.com/image/1/1639/1639s.jpg
理想的小白脸生活,其他文库,渡边恒彦,连载中,2020-05-18,1612186.0,http://img.wenku8.com/image/1/1435/1435s.jpg
狼与香辛料(狼与辛香料),电击文库,支仓冻砂,已完成,2020-10-12,3122955.0,http://img.wenku8.com/image/0/5/5s.jpg
霸剑皇姬阿尔缇娜(霸剑的皇姬阿尔缇娜),Fami通文库,村崎幸也,连载中,2018-10-04,1193592.0,http://img.wenku8.com/image/1/1449/1449s.jpg
铳皇无尽的法夫纳,讲谈社,司,已完成,2018-07-01,1480990.0,http://img.wenku8.com/image/1/1497/1497s.jpg
日常生活中的异能战斗(日常系的异能战斗),GA文库,望公太,已完成,2020-03-10,1065060.0,http://img.wenku8.com/image/1/1727/1727s.jpg
八男？别闹了！,MF文库J,Y.A,连载中,2020-06-28,2033125.0,http://img.wenku8.com/image/1/1943/1943s.jpg
剑神的继承者(剑神之继承者),MF文库J,镜游,已完成,2020-03-08,1293588.0,http://img.wenku8.com/image/1/1260/1260s.jpg
就算是哥哥有爱就没问题了对吧,MF文库J,铃木大辅,已完成,2020-08-03,920934.0,http://img.wenku8.com/image/0/973/973s.jpg
HP 公主天国,富士见文库,风见周,已完成,2019-09-16,1199809.0,http://img.wenku8.com/image/0/576/576s.jpg
哥布林杀手,GA文库,蜗牛くも,连载中,2020-08-06,1322985.0,http://img.wenku8.com/image/2/2084/2084s.jpg
女装皇家教师(女装家教),Fami通文库,野村美月,已完成,2020-10-26,802711.0,http://img.wenku8.com/image/1/1266/1266s.jpg
龙王的工作！,GA文库,白鸟士郎,连载中,2020-08-28,1456645.0,http://img.wenku8.com/image/2/2111/2111s.jpg
月神来我家！,MF文库J,后藤佑迅,已完成,2014-03-28,1192899.0,http://img.wenku8.com/image/1/1096/1096s.jpg
发条精灵战记 天镜的极北之星(天镜的阿尔德拉民),电击文库,宇野朴人,已完成,2020-04-21,1758909.0,http://img.wenku8.com/image/1/1386/1386s.jpg
农林,GA文库,白鸟士郎,连载中,2020-02-16,1170778.0,http://img.wenku8.com/image/1/1158/1158s.jpg
零之使魔,MF文库J,山口升,已完成,2018-10-12,2106955.0,http://img.wenku8.com/image/0/13/13s.jpg
我的现实与网游被恋爱喜剧侵蚀了(不妙我的现实和网游正被浪漫轻喜剧侵蚀),HJ文库,藤谷ある,已完成,2014-05-01,612625.0,http://img.wenku8.com/image/1/1171/1171s.jpg
怕痛的我，把防御力点满就对了,角川文库,夕蜜柑,连载中,2020-09-27,474401.0,http://img.wenku8.com/image/2/2480/2480s.jpg
魔装学园H×H,角川文库,久慈政宗,已完成,2018-07-14,1119794.0,http://img.wenku8.com/image/1/1678/1678s.jpg
无赖勇者的鬼畜美学,HJ文库,上栖缀人,连载中,2014-04-19,1179746.0,http://img.wenku8.com/image/0/954/954s.jpg
无头骑士异闻录DuRaRaRa!!,电击文库,成田良悟,连载中,,,http://img.wenku8.com/image/0/412/412s.jpg
偶像总爱被吐嘈！(她喜欢被吐槽),电击文库,斎藤雅人,已完成,2015-02-19,1065533.0,http://img.wenku8.com/image/1/1106/1106s.jpg
异世界魔王与召唤少女的奴隶魔术(异界魔王与召唤少女的奴隶魔术),讲谈社,村崎幸也,连载中,2020-10-13,1244072.0,http://img.wenku8.com/image/1/1929/1929s.jpg
空战魔导士培训生的教官(空战魔导士候补生的教官),富士见文库,诸星悠,已完成,2019-05-15,1396998.0,http://img.wenku8.com/image/1/1700/1700s.jpg
袭来!美少女邪神(潜行吧!奈亚子),GA文库,逢空万太,已完成,2014-10-12,1351857.0,http://img.wenku8.com/image/0/842/842s.jpg
RPG WORLD-RPG·世界-,富士见文库,吉村夜,已完成,2019-03-22,1570127.0,http://img.wenku8.com/image/1/1046/1046s.jpg
线上游戏的老婆不可能是女生？,电击文库,听猫芝居,连载中,2020-03-08,1731704.0,http://img.wenku8.com/image/1/1672/1672s.jpg
便当(半价便当争夺战),集英社,朝浦,已完成,2014-05-19,2373956.0,http://img.wenku8.com/image/0/612/612s.jpg
银之十字架与吸血姬,富士见文库,十月ユウ,已完成,2014-08-19,527309.0,http://img.wenku8.com/image/1/1300/1300s.jpg
千之魔剑与盾之少女,一迅社,川口士,已完成,2020-03-10,1903578.0,http://img.wenku8.com/image/1/1240/1240s.jpg
六花的勇者,集英社,山形石雄,已完成,2020-03-15,874697.0,http://img.wenku8.com/image/1/1175/1175s.jpg
Only Sense Online绝对神境,富士见文库,アロハ座长,连载中,2020-09-26,1451324.0,http://img.wenku8.com/image/1/1730/1730s.jpg
时钟机关之星Clockwork Planet,讲谈社,榎宫佑 暇奈椿,连载中,2016-06-28,587514.0,http://img.wenku8.com/image/1/1499/1499s.jpg
大传说中勇者的传说,富士见文库,镜贵也,连载中,2020-03-07,1287056.0,http://img.wenku8.com/image/0/900/900s.jpg
这个勇者明明超TUEEE却过度谨慎,角川文库,土日月,连载中,2020-09-01,624609.0,http://img.wenku8.com/image/2/2536/2536s.jpg
异世界魔法实在太落后!(异世界的魔法太落后了！),其他文库,樋辻卧命,连载中,2019-09-13,916617.0,http://img.wenku8.com/image/1/1854/1854s.jpg
继母的拖油瓶是我的前女友,角川文库,纸城境介,连载中,2020-10-08,473152.0,http://img.wenku8.com/image/2/2509/2509s.jpg
魔王学院的不适任者,电击文库,秋,连载中,2020-10-18,1004363.0,http://img.wenku8.com/image/2/2586/2586s.jpg
妹妹X杀手X宅配便(全家！),GA文库,九边健二,已完成,2017-12-22,711072.0,http://img.wenku8.com/image/0/895/895s.jpg
我要成为双马尾,小学馆,水泽梦,已完成,2020-11-06,2295608.0,http://img.wenku8.com/image/1/1482/1482s.jpg
其中一个是妹妹!(三人行必有我妹),MF文库J,田口一,已完成,2013-12-10,1055735.0,http://img.wenku8.com/image/0/943/943s.jpg
我将在明日逝去，而你将死而复生(明天，我会死去，你将重生),电击文库,藤まる,已完成,2017-07-11,422601.0,http://img.wenku8.com/image/1/1463/1463s.jpg
如果折断她的旗(如果她的旗帜被折断了),讲谈社,竹井10日,已完成,2018-01-08,1345615.0,http://img.wenku8.com/image/1/1276/1276s.jpg
幼女战记(谭雅战记),Fami通文库,カルロ·ゼン,连载中,2020-11-17,1948935.0,http://img.wenku8.com/image/1/1792/1792s.jpg
凉宫春日物语,角川文库,谷川流,已完成,,,http://img.wenku8.com/image/0/102/102s.jpg
小书痴的下克上~为了成为图书管理员不择手段~,其他文库,香月美夜,连载中,2020-11-04,3202040.0,http://img.wenku8.com/image/2/2428/2428s.jpg
灰与幻想的格林姆迦尔,其他文库,十文字青,连载中,2020-06-29,1940855.0,http://img.wenku8.com/image/1/1546/1546s.jpg
魔王女孩与村民A,电击文库,ゆうきりん,已完成,2017-02-25,927931.0,http://img.wenku8.com/image/1/1224/1224s.jpg
我拯救太多女主角引发了世界末日！？,HJ文库,なめこ印,连载中,2020-03-08,966124.0,http://img.wenku8.com/image/1/1270/1270s.jpg
冰结镜界的伊甸,富士见文库,细音启,已完成,2014-07-09,1414724.0,http://img.wenku8.com/image/0/951/951s.jpg
漆黑英雄的一击无双(黑之英雄的一击无双),HJ文库,望公太,连载中,2016-08-21,415706.0,http://img.wenku8.com/image/1/1531/1531s.jpg
转生成女性向游戏只有毁灭END的坏人大小姐(转生恶役只好拔除破灭旗标),其他文库,山口悟,连载中,2020-04-28,836500.0,http://img.wenku8.com/image/2/2312/2312s.jpg
骑士＆魔法,其他文库,天酒之瓢,连载中,2020-05-18,1190267.0,http://img.wenku8.com/image/1/1695/1695s.jpg
盟约的利维坦,MF文库J,丈月城,已完成,2017-08-18,865156.0,http://img.wenku8.com/image/1/1343/1343s.jpg
舞星洒落的雷涅席库尔(起舞的降星雷涅西库尔),GA文库,裕时悠示,已完成,2016-02-12,661939.0,http://img.wenku8.com/image/1/1125/1125s.jpg
终结的炽天使 一濑红莲16岁的破灭,讲谈社,镜贵也,连载中,2020-02-29,484820.0,http://img.wenku8.com/image/1/1459/1459s.jpg
烙印纹章,电击文库,杉原智则,已完成,2013-09-04,1422407.0,http://img.wenku8.com/image/0/645/645s.jpg
C3魔幻三次方(魔方少女),电击文库,水濑叶月,已完成,2015-06-05,2102505.0,http://img.wenku8.com/image/0/185/185s.jpg
因为不是真正的伙伴而被逐出勇者队伍，流落到边境展开慢活人生,角川文库,ざっぽん,连载中,2020-04-30,577157.0,http://img.wenku8.com/image/2/2449/2449s.jpg
某科学的超电磁炮,电击文库,镰池和马,连载中,2018-03-09,510065.0,http://img.wenku8.com/image/0/691/691s.jpg
只要长得可爱，即使是变态你也喜欢吗？,MF文库J,花间灯,连载中,2020-11-09,869101.0,http://img.wenku8.com/image/2/2346/2346s.jpg
说谎的男孩与坏掉的女孩,电击文库,入间人间,已完成,2020-03-07,1455730.0,http://img.wenku8.com/image/0/9/9s.jpg
神的记事本,电击文库,杉井光,已完成,2014-10-01,1216059.0,http://img.wenku8.com/image/0/16/16s.jpg
钢壳都市雷吉欧斯,富士见文库,雨木秀介,已完成,2020-03-06,2376363.0,http://img.wenku8.com/image/0/147/147s.jpg
魔王的我与不死公主的戒指(魔王的我和不死姬的指环),HJ文库,柑橘ゆすら,已完成,2020-03-04,327414.0,http://img.wenku8.com/image/1/1316/1316s.jpg
下流梗不存在的灰暗世界(没有黄段子的无聊世界),小学馆,赤城大空,连载中,2019-11-24,905840.0,http://img.wenku8.com/image/1/1446/1446s.jpg
GATE奇幻自卫队(Gate自卫队于彼地战斗),其他文库,柳内たくみ,连载中,2017-09-22,870507.0,http://img.wenku8.com/image/1/1505/1505s.jpg
对魔导学园35试验小队,富士见文库,柳实冬贵,已完成,2018-09-25,1588830.0,http://img.wenku8.com/image/1/1555/1555s.jpg
我家的食客掌握全世界！,GA文库,七条刚,连载中,2020-02-16,982245.0,http://img.wenku8.com/image/1/1604/1604s.jpg
美少女死神还我H之魂!,富士见文库,橘ぱん,已完成,2014-07-13,948184.0,http://img.wenku8.com/image/1/1105/1105s.jpg
人气妹妹与受难的我(女生人气妹和受难的我),小学馆,夏绿,已完成,2014-06-17,831896.0,http://img.wenku8.com/image/1/1006/1006s.jpg
我想成为影之强者(想要成为影之实力者),角川文库,逢泽大介,连载中,2019-10-13,378100.0,http://img.wenku8.com/image/2/2542/2542s.jpg
黑钢的魔纹修复士,Fami通文库,嬉野秋彦,已完成,2016-11-15,1270859.0,http://img.wenku8.com/image/1/1461/1461s.jpg
Fate Apocrypha,其他文库,东出佑一郎,已完成,2020-07-11,816597.0,http://img.wenku8.com/image/1/1383/1383s.jpg
我被女生倒追，惹妹妹生气了？,MF文库J,野岛研二,已完成,2014-04-29,377120.0,http://img.wenku8.com/image/1/1325/1325s.jpg
我的怪物眷族,其他文库,日暮眠都,连载中,2020-03-10,1507078.0,http://img.wenku8.com/image/1/1970/1970s.jpg
巴冈特反英雄谭(巴甘多反英雄传),富士见文库,八街步,连载中,2015-12-22,548368.0,http://img.wenku8.com/image/1/1551/1551s.jpg
被卷入了勇者召唤事件却发现异世界很和平,其他文库,灯台,连载中,2020-11-14,911156.0,http://img.wenku8.com/image/2/2548/2548s.jpg
大小姐X执事(管家后宫学园),电击文库,上月司,已完成,2013-03-24,1202518.0,http://img.wenku8.com/image/0/386/386s.jpg
我与她的绝对领域,HJ文库,鹰山诚一,已完成,2013-11-12,657738.0,http://img.wenku8.com/image/1/1183/1183s.jpg
这是你与我的最后战场，或是开创世界的圣战(你与我最后的战场，亦或是世界起始的圣战),富士见文库,细音启,连载中,2020-11-14,1219850.0,http://img.wenku8.com/image/2/2290/2290s.jpg
你的侍奉只有这种程度吗?,GA文库,森田季节,已完成,2014-05-07,619049.0,http://img.wenku8.com/image/1/1111/1111s.jpg
化物语(物语系列一),讲谈社,西尾维新,已完成,2015-01-07,498603.0,http://img.wenku8.com/image/0/6/6s.jpg
少年阴阳师,少女文库,结城光流,连载中,2020-02-16,3874565.0,http://img.wenku8.com/image/0/64/64s.jpg
GAMERS电玩咖！,富士见文库,葵关南,已完成,2020-04-21,1422190.0,http://img.wenku8.com/image/2/2082/2082s.jpg
高一就是异世界的城主(虽然才高一却在异世界当起城主),HJ文库,镜裕之,连载中,2020-03-15,548154.0,http://img.wenku8.com/image/1/1519/1519s.jpg
肯普法,MF文库J,筑地俊彦,已完成,2010-12-11,1149769.0,http://img.wenku8.com/image/0/120/120s.jpg
火之国、风之国物语,富士见文库,师走透,已完成,2014-01-18,1644582.0,http://img.wenku8.com/image/1/1063/1063s.jpg
第101篇百物语,MF文库J,サイトウケンジ,已完成,2020-11-09,824365.0,http://img.wenku8.com/image/0/990/990s.jpg
关于邻家的天使大人不知不觉把我惯成了废人这档子事,GA文库,佐伯さん,连载中,2020-11-13,315379.0,http://img.wenku8.com/image/2/2580/2580s.jpg
降临于我与她之夜,富士见文库,八街步,已完成,2013-10-23,953041.0,http://img.wenku8.com/image/1/1023/1023s.jpg
欢迎光临美少女游戏世界,Fami通文库,田尾典丈,已完成,2014-09-26,912096.0,http://img.wenku8.com/image/0/497/497s.jpg
未踏召唤:／／鲜血印记,电击文库,镰池和马,连载中,2020-03-09,1188860.0,http://img.wenku8.com/image/1/1752/1752s.jpg
OUTBREAK COMPANY 萌萌侵略者,讲谈社,榊一郎,已完成,2020-03-26,1797059.0,http://img.wenku8.com/image/1/1361/1361s.jpg
86-不存在的战区-(86- Eighty Six -),电击文库,安里アサト,连载中,2020-09-15,1035859.0,http://img.wenku8.com/image/2/2231/2231s.jpg
贤者之孙,Fami通文库,吉冈刚,连载中,2020-09-04,949283.0,http://img.wenku8.com/image/2/2229/2229s.jpg
魔王学校里只有我是勇者!?,HJ文库,夏绿,连载中,2014-11-22,598217.0,http://img.wenku8.com/image/1/1186/1186s.jpg
GOSICK,角川文库,樱庭一树,连载中,2017-12-29,1586495.0,http://img.wenku8.com/image/0/144/144s.jpg
弱角友崎同学(弱势角色友崎君),小学馆,屋久悠树,连载中,2020-08-30,1204802.0,http://img.wenku8.com/image/2/2254/2254s.jpg
田中～年龄等于单身资历的魔法师～,其他文库,ぶんころり,连载中,2020-11-23,1434087.0,http://img.wenku8.com/image/2/2466/2466s.jpg
贤者大叔的异世界生活日记,MF文库J,寿安清,连载中,2020-08-19,1035583.0,http://img.wenku8.com/image/2/2390/2390s.jpg
问题儿童的最终考验(Last Embryo),角川文库,龙之湖太郎,连载中,2019-08-12,736034.0,http://img.wenku8.com/image/1/1942/1942s.jpg
人生,小学馆,川岸殴鱼,已完成,2020-10-30,939248.0,http://img.wenku8.com/image/1/1434/1434s.jpg
末日时在做什么？有没有空？可以来拯救吗？,角川文库,枯野瑛,已完成,2018-11-19,578858.0,http://img.wenku8.com/image/2/2065/2065s.jpg
转生为猪公爵的我，这次要向你告白(转生猪公爵，这次想说喜欢你),富士见文库,合田拍子,连载中,2020-07-04,763458.0,http://img.wenku8.com/image/2/2523/2523s.jpg
中二病也要谈恋爱!,其他文库,虎虎,连载中,2013-01-29,229034.0,http://img.wenku8.com/image/1/1283/1283s.jpg
迷途猫(娇蛮猫娘大横行!),集英社,松智洋,连载中,2020-03-04,964286.0,http://img.wenku8.com/image/0/515/515s.jpg
白银龙王的摇篮,HJ文库,津川友贵,已完成,2015-07-21,474716.0,http://img.wenku8.com/image/1/1151/1151s.jpg
水乳交揉！(触摸魔女),HJ文库,镜裕之,已完成,2012-12-03,238954.0,http://img.wenku8.com/image/0/451/451s.jpg
Fate Strange Fake,电击文库,成田良悟,连载中,2020-03-29,639487.0,http://img.wenku8.com/image/0/347/347s.jpg
奇诺之旅,电击文库,时雨泽惠一,连载中,,,http://img.wenku8.com/image/0/12/12s.jpg
大神系列(大神与七位伙伴),电击文库,冲田雅,已完成,2020-03-02,1158809.0,http://img.wenku8.com/image/0/896/896s.jpg
神明大人的工作(神明的工作),讲谈社,干,已完成,2014-07-16,296747.0,http://img.wenku8.com/image/1/1441/1441s.jpg
我在异世界里面临辅助魔法与召唤魔法的选择,其他文库,横冢司,连载中,2020-06-04,745296.0,http://img.wenku8.com/image/1/1862/1862s.jpg
堕落邪恶组织，拥抱美少女大胜利!(坠入邪道后左拥右抱成了赢家!!),HJ文库,冈泽六十四,已完成,2018-01-26,568097.0,http://img.wenku8.com/image/1/1296/1296s.jpg
幽灵什么的才看不见！,GA文库,村崎幸也,已完成,2013-12-25,632945.0,http://img.wenku8.com/image/1/1254/1254s.jpg
前略。我与猫和天使同居,HJ文库,绯月剃,已完成,2013-03-04,552909.0,http://img.wenku8.com/image/1/1012/1012s.jpg
勇者互助公会 交流型留言板,讲谈社,おけむら,连载中,2014-07-31,501385.0,http://img.wenku8.com/image/1/1564/1564s.jpg
全金属狂潮(惊爆危机),富士见文库,贺东招二,已完成,,,http://img.wenku8.com/image/0/8/8s.jpg
魔剑的爱莉丝贝儿(魔剑的爱丽丝贝尔),电击文库,赤松中学,已完成,2016-11-26,710355.0,http://img.wenku8.com/image/1/1335/1335s.jpg
重生勇者面露冷笑，步上复仇之路,MF文库J,木冢ネロ,连载中,2020-03-10,832879.0,http://img.wenku8.com/image/2/2283/2283s.jpg
金色文字使 被四名勇者波及的独特外挂,富士见文库,十本翠,已完成,2020-03-28,1457554.0,http://img.wenku8.com/image/1/1853/1853s.jpg
我与一乃的游戏同好会活动日志,MF文库J,叶村哲,已完成,2015-01-24,1000631.0,http://img.wenku8.com/image/0/988/988s.jpg
锁锁美小姐@不好好努力(锁锁美同学@提不起劲),小学馆,日日日,已完成,2020-03-06,1238358.0,http://img.wenku8.com/image/1/1207/1207s.jpg
武艺精研百余年 转世成精灵重拾武者修行,富士见文库,赤石赫々,已完成,2018-10-07,887998.0,http://img.wenku8.com/image/1/1798/1798s.jpg
小恶魔缇莉与救世主(小恶魔媞莉与救世主)！？,MF文库J,衣笠彰梧,已完成,2015-08-13,539847.0,http://img.wenku8.com/image/1/1466/1466s.jpg
魔法人力派遣公司(出租魔法使),角川文库,三田诚,已完成,2013-07-08,2125877.0,http://img.wenku8.com/image/0/96/96s.jpg
我的姐姐有中二病(姐姐是中二),HJ文库,藤孝刚志,已完成,2020-02-18,649031.0,http://img.wenku8.com/image/1/1510/1510s.jpg
尼特族的异世界就职记,MF文库J,桂かすが,连载中,2020-08-16,760613.0,http://img.wenku8.com/image/1/1859/1859s.jpg
穿越时空的龙王与迈向灭亡的魔女之国(穿越龙王与步向灭亡的魔女之国),MF文库J,舞阪洸,连载中,2017-11-14,855640.0,http://img.wenku8.com/image/1/1356/1356s.jpg
Fate Zero,讲谈社,虚渊玄,已完成,2011-08-15,606232.0,http://img.wenku8.com/image/0/317/317s.jpg
靠废柴技能【状态异常】成为最强的我将蹂躏一切,其他文库,筱崎芳,连载中,2020-09-21,651470.0,http://img.wenku8.com/image/2/2552/2552s.jpg
苍柩的青金石,MF文库J,朝野始,已完成,2018-12-24,516097.0,http://img.wenku8.com/image/1/1295/1295s.jpg
PSYCOME炼爱学狱(恋狱剧场),Fami通文库,水城水城,已完成,2016-06-27,839606.0,http://img.wenku8.com/image/1/1488/1488s.jpg
千嫁喵物语,电击文库,マサト真希,已完成,2015-08-13,804203.0,http://img.wenku8.com/image/0/909/909s.jpg
虫之歌,角川文库,岩井恭平,已完成,2014-05-21,3219160.0,http://img.wenku8.com/image/0/18/18s.jpg
魔女之旅,GA文库,白石定规,连载中,2020-11-14,1372181.0,http://img.wenku8.com/image/2/2255/2255s.jpg
中古货也想谈恋爱！(中古也要谈恋爱！),GA文库,田尾典丈,连载中,2020-10-22,1029199.0,http://img.wenku8.com/image/1/1953/1953s.jpg
当不成勇者的我，只好认真找工作了,富士见文库,左京润,已完成,2016-06-27,825824.0,http://img.wenku8.com/image/1/1423/1423s.jpg
传说中勇者的传说,富士见文库,镜贵也,已完成,2020-03-07,1783328.0,http://img.wenku8.com/image/0/180/180s.jpg
剑刻的银乙女(剑刻之银乙女),一迅社,手岛史词,连载中,2019-04-25,742283.0,http://img.wenku8.com/image/1/1522/1522s.jpg
异世界超能魔术师,其他文库,内田健,连载中,2020-02-17,592398.0,http://img.wenku8.com/image/1/1755/1755s.jpg
话说当时我还不是主角,MF文库J,二阶堂纮嗣,连载中,2020-02-16,274547.0,http://img.wenku8.com/image/1/1680/1680s.jpg
屠龙者的异世界生活,其他文库,赤雪トナ,连载中,2020-03-02,411758.0,http://img.wenku8.com/image/1/1578/1578s.jpg
乙女游戏世界对路人角色很不友好,其他文库,三嶋与梦,连载中,2020-09-13,1010269.0,http://img.wenku8.com/image/2/2638/2638s.jpg
突然成为骑士,HJ文库,糸绪思惟,已完成,2012-08-30,559092.0,http://img.wenku8.com/image/1/1035/1035s.jpg
密斯玛路卡兴国物语,角川文库,林智明,连载中,2020-03-02,1019457.0,http://img.wenku8.com/image/0/411/411s.jpg
骸骨骑士大人异世界冒险中,其他文库,秤猿鬼,连载中,2020-03-28,1302450.0,http://img.wenku8.com/image/2/2066/2066s.jpg
我的狐姬主人(狐姬的仆人),富士见文库,春日御影,已完成,2014-12-09,361455.0,http://img.wenku8.com/image/1/1292/1292s.jpg
推荐一起共度初体验的她(初体验推荐彼女),MF文库J,朝野始,已完成,2014-09-12,448967.0,http://img.wenku8.com/image/1/1178/1178s.jpg
RIGHT×LIGHT,小学馆,司,连载中,2015-08-13,869822.0,http://img.wenku8.com/image/0/503/503s.jpg
再见龙生你好人生,其他文库,永岛ひろあき,连载中,2020-10-21,1808582.0,http://img.wenku8.com/image/2/2224/2224s.jpg
百花缭乱,HJ文库,すずきぁきら,连载中,2015-08-13,1556158.0,http://img.wenku8.com/image/0/455/455s.jpg
walkyrie works,GA文库,逢空万太,连载中,2014-09-27,402865.0,http://img.wenku8.com/image/1/1457/1457s.jpg
这间教室被不回家社占领了,MF文库J,冈崎登,已完成,2014-07-21,672898.0,http://img.wenku8.com/image/1/1049/1049s.jpg
月花歌姬与魔技之王,HJ文库,翅田大介,已完成,2015-04-24,432869.0,http://img.wenku8.com/image/1/1351/1351s.jpg
惊爆危机ANOTHER(全金属狂潮another),富士见文库,大黑尚人,已完成,2016-10-02,1138681.0,http://img.wenku8.com/image/1/1148/1148s.jpg
火界王剑的神灭者,HJ文库,津川友贵,连载中,2015-11-07,453730.0,http://img.wenku8.com/image/1/1417/1417s.jpg
成为吸血鬼的你开始一段永恒的爱(化身吸血鬼的你开始永远的爱恋),Fami通文库,野村美月,已完成,2018-10-31,548012.0,http://img.wenku8.com/image/1/1761/1761s.jpg
29岁单身汉在异世界想自由生活却事与愿违！？,富士见文库,リュート,已完成,2020-03-07,947679.0,http://img.wenku8.com/image/2/2147/2147s.jpg
最后大魔王,HJ文库,水城正太郎,连载中,2017-06-09,1133015.0,http://img.wenku8.com/image/0/30/30s.jpg
森罗万象统御者,MF文库J,水月纱鸟,已完成,2020-03-05,340959.0,http://img.wenku8.com/image/1/1425/1425s.jpg
